"id","cve","project_name","description","mistakes","tag_list__id","tag_list__tag"
"","","","","","99","language-c"
"","","","","","113","secure-by-default"
"","","","","","117","small-fix"
"","","","","","117","small-fix"
"","","","","","117","small-fix"
"","","","","","414","subsystem-httpd-server-s-config-filters-subsystem"
"","","","","","345","vcc"
"","","","","","438","project-httpd"
"","","","","","359","cooks"
"1024","CVE-2014-7935","chromium","The tts_message_filter.cc file in versions of google chrome before 40.0.2214.91 had a vulnerability that would\ntry to use memory immediately after it had been freed. This would allow attackers to\nuse the text to speech utterances to crash a user's current tab in google chrome and possibly\nexecute other attacks such as executing remote code.\n","After looking at the fix in the code, this is obviously a coding mistake. It is a coding mistake\nbecause they used the weak_ptr class to prevent a UAF, but the weak_ptr class was the part of the code\nthat was allowing the use after free vulnerability to occur. If the team had done more thorough\ntesting with their unit tests and their automation tests, I believe that they would have found this\nvulnerability a lot sooner. Looking at the possible mitigations for the CWE and the fix for the code,\nthey didn't change their code language or set their pointers to null after being freed. The second one\ncan be excused though because it uses a complex data structure.\n","4","lifetime-180d1y"
"","","","","","8","bounty"
"","","","","","26","cwe-416"
"","","","","","94","discover-automated"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","115","complex-inputs"
"","","","","","116","big-fix"
"","","","","","262","subsystem-chromium-chrome-browser-speech-extension_api"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1463","CVE-2017-5098","chromium","Use after free in V8.\n","null","26","cwe-416"
"","","","","","357","project-chromium"
"913","CVE-2013-6665","chromium","Heap-based buffer overflow in Chrome's resource provider in Google Chrome that\nhandles bitmap textures. The vulnerability allows remote attackers to cause a\ndenial of service or possibly have unspecified other impact via a large bitmap\ntexture size that triggers improper memory allocation in the software\nrenderer.\n\nThe fix for this vulnerability is to place a hard limit on the number of bytes\nthat can be allocated in a specific situation, regardless of different kinds\nof hardware.\n","The vulnerabliity here was a pretty simple oversight in terms of limiting resource constraints. The code would have handled a massive amounts of memory allocation differently on different pieces of hardware, leading to a buffer overflow in some situations. They didn't think of this early on. But, the way they fixed it was to hardcode a reasonable limit into the code.\nThe use of a magic number without a constant still seems fishy to me, but it's very good that they considered this situation and rectified it.\nInterestingly, they did not trust the fuzzer on this initially.","4","lifetime-180d1y"
"","","","","","8","bounty"
"","","","","","84","cvss-av-n"
"","","","","","85","cvss-ac-l"
"","","","","","86","cvss-au-n"
"","","","","","87","cvss-c-p"
"","","","","","88","cvss-i-p"
"","","","","","89","cvss-a-p"
"","","","","","94","discover-automated"
"","","","","","96","internal"
"","","","","","100","language-cpp"
"","","","","","105","defense"
"","","","","","109","distrust-input"
"","","","","","113","secure-by-default"
"","","","","","117","small-fix"
"","","","","","119","subsystem-chromium-cc"
"","","","","","342","escaped"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"","","","","","360","refactors"
"1468","CVE-2017-5103","chromium","Uninitialized use in Skia. Uninitialized value was created by an allocation\nof ""src"" in the stack frame of the ""ReadBuffer"" function.\n","null","22","cwe-200"
"","","","","","357","project-chromium"
"1550","CVE-2004-0942","httpd","If a request is sent that contains tons of whitespace in an HTTP header, the\nserver consumes an excessive amount of CPU or memory (various sources\ndisagree on which it is; maybe it's both) while attempting to parse it.\n","Unfortunately there appears to be no public discussion of the bug; it was\njust quietly fixed 3 days after the report. Thus, it is difficult to tell\nwhat led to the vulnerability. It appears that it was just a simple coding\nmistake that was not caught by either the author or the two code reviewers.\nA more notable mistake is in commit 3d5263. That commit fixed the inital\nvulnerability of ""lots of whitespace."" However, it did not fully fix the\nissue; instead, it changed it to ""lots of whitespace on lots of lines.""\nThis indicated that they were aware of the vulnerability, and *still*\ndidn't consider how their code could be exploited. The vulnerability could\nlikely have been fixed at that commit in June (rather than in November) had\nthe author or reviewers tried to think like a hacker and try to break their\nown code.\n","5","lifetime-1y2y"
"","","","","","11","cwe-20"
"","","","","","84","cvss-av-n"
"","","","","","85","cvss-ac-l"
"","","","","","86","cvss-au-n"
"","","","","","89","cvss-a-p"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","99","language-c"
"","","","","","109","distrust-input"
"","","","","","429","subsystem-httpd-protocol"
"","","","","","343","lacked-test"
"","","","","","345","vcc"
"","","","","","438","project-httpd"
"","","","","","359","cooks"
"1287","CVE-2016-1700","chromium","During the creation of an array of views for an extension, there is\nnothing that prevents setters from destroying a view in one of the array\nindeces, which triggers unexpected behavior when said destroyed view is\nattempted to be accessed by other parts of the extension and browser.\n","This vulnerability was a simple coding mistake that did not take into\naccount how the deletion of a single member of the array affects the access of\nall data within said array. The fix takes this into account, and runs checks\nto validate the integrity of the data stored.\n","6","lifetime-2y5y"
"","","","","","8","bounty"
"","","","","","26","cwe-416"
"","","","","","100","language-cpp"
"","","","","","115","complex-inputs"
"","","","","","117","small-fix"
"","","","","","142","subsystem-chromium-extensions"
"","","","","","343","lacked-test"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1162","CVE-2015-6761","chromium","A function in FFMPEG, used by Google Chrome before 46.0.2490.71 relies on a coefficient-partition count during multi-threaded operation, allowing for a denial of service or an unspecified impact via a crafted WebM file\n","The main issue arose from an issue in FFMPEG resulting in a race condition that caused FFMPEG to terminate. The fix involved updating the version of FFMPEG being used as well as updating dependency tests to ensure that the issue doesn't repeat. This issue is a coding mistake in FFMPEG that results in a race condition. This bug is not directly inside Chrome\n","1","lifetime-30d"
"","","","","","8","bounty"
"","","","","","9","dependency"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","117","small-fix"
"","","","","","157","subsystem-chromium-ffmpeg"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","358","owners"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"1464","CVE-2017-5099","chromium","Out-of-bounds write in PPAPI. When the sandbox process fails to verify the\nauthenticity of a message, fake data can be inserted, resulting in elevation\nof privilege.\n","null","11","cwe-20"
"","","","","","357","project-chromium"
"1644","CVE-2017-7668","httpd","When parsing HTTP request headers, the ap_find_token() function in the Apache\nHTTPD server would overrun the string buffer when searching for a specific\ntoken. If line being searched contained a NUL (\0) character in the last\ntoken of the string, then the function would continue to read past the end of\nthe string resulting in a buffer overrun.\nThis occurs because of how the ap_find_token() function searched for the\nbeginning of a token. If a NUL character was found, the function would skip\npast it and continue processing the memory beyond the NUL character.\n","A concious, documented decision was made to not check for NUL characters\nwhen searching for the start of a token in the input string. When working\nin C, where string parsing is a ripe target for buffer overruns, this\nshould have raised some alarms.\nNormal HTTP headers should never contain NUL characters, so when one shows\nup somewhere it isn't expected, the server should treat it as a malformed\nrequest and stop attempting to process it normally. Workarounds should not\nbe implemented in case a NUL character is encountered in the middle of a\nstring, because that's not something that should be happening in the first\nplace. Additionally, for software as widespread as Apache HTTPD,\nimplementing non-standard behavior only encourages nonconformity to the\nestablished standards.\n","7","lifetime-5y"
"","","","","","11","cwe-20"
"","","","","","84","cvss-av-n"
"","","","","","85","cvss-ac-l"
"","","","","","86","cvss-au-n"
"","","","","","87","cvss-c-p"
"","","","","","88","cvss-i-p"
"","","","","","89","cvss-a-p"
"","","","","","94","discover-automated"
"","","","","","97","external"
"","","","","","99","language-c"
"","","","","","109","distrust-input"
"","","","","","117","small-fix"
"","","","","","117","small-fix"
"","","","","","394","subsystem-httpd-http-token-parsing"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","438","project-httpd"
"","","","","","359","cooks"
"1841","CVE-2013-1966","struts","URL requests containing parameters were not properly handled and sanitized.  \nThis allowed malicious code in the Apache Object Graph Navigation Language (OGNL) to be executed by typing commands in the URL parameters.\n","There were two major mistakes that likely led to this vulnerability being created.  First was importing the XWork files without fully considering what vulnerabilities they may create.  Second, the input through URL parameters, which are very easily modifiable, were not being properly sanitized, which allowed code to be executed very easily, which is a major problem in software systems.","6","lifetime-2y5y"
"","","","","","13","cwe-94"
"","","","","","102","language-java"
"","","","","","109","distrust-input"
"","","","","","114","yagni"
"","","","","","521","subsystem-struts-xwork"
"","","","","","342","escaped"
"","","","","","345","vcc"
"","","","","","356","Origin"
"","","","","","523","project-struts"
"","","","","","359","cooks"
"1486","CVE-2017-5121","chromium","Embargoed. Out-of-bounds access in V8.\n","null","11","cwe-20"
"","","","","","357","project-chromium"
"1461","CVE-2017-5096","chromium","User information leak via Android intents. URL can be used to navigate from\nHTTP to FILE.\n(i.e. ""googlechrome://navigate?url=file:///sdcard/Download/a.html"")\n","null","22","cwe-200"
"","","","","","357","project-chromium"
"1030","CVE-2014-7941","chromium","One of the functions in the applications uses an int data type for a certain value that can get particularly large.  Since int variables have a smaller maximum value the variable was going over the max and looping back to the negative values.  Having negative values could cause a denial of service.","This vulnerability was caused by a coding mistake. The developers did\nnot fully think through what data would be stored in this variable.\nFrom this bug, you can see how useful fuzzers can be. Two different\nfuzzers were able to find this bug, which shows that it is not\nsuper difficult to make a useful fuzzer.\n","2","lifetime-3mo"
"","","","","","8","bounty"
"","","","","","14","cwe-119"
"","","","","","94","discover-automated"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","117","small-fix"
"","","","","","146","subsystem-chromium-ui"
"","","","","","343","lacked-test"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1614","CVE-2013-2249","httpd","A mod_session_dbd had a session fixation flaw, and this vulnerability caused\nby incorrectly handling user sessions in a web application. A user's session\nis usually tracked by a cookie, which is assigned when the user visits the\npage with the web application for the first time. This flaw in mod_session_dbd\ncaused it to proceed with save operations for a session without considering\nthe dirty flag and the requirement for a new session ID.\n","The major mistake that led to this vulnerability was a design error. When executed save operations for a session, without considered the dirty flag and invalidated any exsit session identifier would gave an attacker the opportunity to steal authenticated sessions.","7","lifetime-5y"
"","","","","","369","cwe-384"
"","","","","","84","cvss-av-n"
"","","","","","85","cvss-ac-l"
"","","","","","86","cvss-au-n"
"","","","","","87","cvss-c-p"
"","","","","","88","cvss-i-p"
"","","","","","89","cvss-a-p"
"","","","","","95","manual"
"","","","","","96","internal"
"","","","","","99","language-c"
"","","","","","406","subsystem-httpd-mod_session"
"","","","","","343","lacked-test"
"","","","","","345","vcc"
"","","","","","438","project-httpd"
"","","","","","359","cooks"
"1232","CVE-2016-1645","chromium","Attackers could write the metadata for an image, or the information that makes up the image, in such a way that when  it was read in certain programs or \ntools, it had the potential to create Denial of Service attacks which would crash applications or machines. Google used this library to interpret and render the images inside of PDF for viewing,\nin addition to getting the metadata for things like image tags for describing the photos, and alt-text for screen-readers and accessibility settings.  \nThe crash was caused by incorrectly converting integers to other types or from negative-to-positive, and would result in ""integer signdness errors"". \nThese errors could lead to out-of-bounds index writing, where the attacker could inject or execute code where they're not supposed to be able to, or number casting\nerrors, which could violate the integrity of the data. \nThis vulnerability was a problem for its potential to affect the Availability of systems and the integrity of the data. \nThe solution was to upgrade to r3002 of OpenJPEG, which based on intuition and reasoning, added checks for the data to ensure it did not run over. \n","There was a combination of design mistakes, coding mistakes, and either laziness or constraints.\n\nFirst, the team did not account for buffer overflows when they originally coded the method. This could have been avoided with \ninput sanitization, and checking the input to handle any potential out-of-bounds problems. \n\nOn top of failing to handle the problem originally, they did not write any unit tests to attempt to catch the problem before it happened. \nIt is possible that even with unit testing, they could not have caught this, but no tests were written period. Not at the VCC, and not at the fix.\nThere were 4-5 commits between the VCC and the fix, which would make it seem like writing test cases would be a good idea, as so many others had failed to fix \nit previously. \n\nIf the team had set up the method in such a way that it validated inputs and properly handled or expected buffer overflows, then this problem might have been avoided\nfrom the start. I am sure there were some difficulties though, as it appears that OpenJPEG is just a library that Chromium uses, so they were not necessarily testing\nor intending its use for the things that Google eventually utilized it for\n      \n","9","dependency"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","109","distrust-input"
"","","","","","117","small-fix"
"","","","","","282","subsystem-chromium-openjpeg"
"","","","","","343","lacked-test"
"","","","","","357","project-chromium"
"1028","CVE-2014-7939","chromium","If Harmony Proxy (a specific JS Proxy) in Google's JavaScript Engine V8 is\nenabled (disabled by default), it allows remote attackers to bypass the Same\nOrigin Policy via JavaScript code with Proxy.create and console.log calls.\n\nThe Same Origin Policy is an immensely important concept in web, it means that\na web page cannot access data from another web page unless they are of the same\norigin -- calculated based off of URI scheme, host name, and port number.\n\nThis allows access to the victim's URL as a proxy, and potentially committing\ninformation disclosure of user/victim data right to the attacker's own console.\n","This vulnerability seemed to be a widespread problem involving MIME sniffing.\nThis issue with MIME sniffing rised up against other browsers as well, most\nnotably Firefox. In the bug report, the Google employees are specifically\nreferencing the mozilla bug report forum and their proposed solution. It's\nreally quite interesting to see collaboration between the two giant browsers.\nThe Chromium team debated with other options for the fix, but ultimately ended\nup going with Firefox's proposed solution of locking down the window's\nprototype chain.\n\nThe fix for this originally ended up being quite simple, by adding a nosniff\noption in HTTP headers, but eventually the bug was re-opened and a new, more\ncomplicated, solution needed to be found (mentioned above). It seems the HTTP\nheader option was merely a step in the correct direction (this is now\ndefault in modern browsers).\n\nAs for the CWE entry, I found it very diffiuclt to pin down exactly which\nbroad CWE category this fits into. After much silent debate, I decided to\ncategorize it as XSS because ultimately, external JS code was being executed\nthat was not meant to be executed (even if it was via a proxy, aka not via\nthe site directly). It also directly relates to a violation of the Same\nOrigin Policy. Even though it's a bit strange, and therefore doesn't\nnecessarily have the mitigations recommended for broad XSS, there are some\nthat are still aparent. For example, I think the most applicable mitigation\nis actually Strategy: Attack Surface Reduction. This basically involves\nkeeping in mind all potential areas where untrusted inputs are possible,\nincluding things read from the network, URL components, external systems, etc.\nThis relates to the fact that the Chromium team had to think about a Harmony\nProxy as an area with untrusted input.\n","5","lifetime-1y2y"
"","","","","","8","bounty"
"","","","","","95","manual"
"","","","","","96","internal"
"","","","","","100","language-cpp"
"","","","","","105","defense"
"","","","","","109","distrust-input"
"","","","","","116","big-fix"
"","","","","","117","small-fix"
"","","","","","265","subsystem-chromium-blink-javascript"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","358","owners"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"1239","CVE-2016-1652","chromium","Cross-site scripting (XSS) vulnerability in the ModuleSystem::RequireForJsInner\nfunction in extensions/renderer/module_system.cc in the Extensions subsystem\nin Google Chrome before 50.0.2661.75. This allows remote attackers to inject\narbitrary web script or HTML via a crafted web site, aka ""Universal XSS (UXSS).""\nShould an attacker inject their own scripts, they will be able to spread malicious\ncode to various end user's. The attacker could compromise a user's browser data\nand even alter the content of an HTML page.\n","The mistake leading to this vulnerability, was simply rooted within a\nprivacy issue regarding getters and setters. These were modified to deal\nwith private properties instead of regular properties. These was done to\nmake interception harder from the outside. By privatizing properties, they\nbecome less accessible to attackers, helping to eliminate the acquistion of\ndata that should not be publicly transmitted. The mistake was truly a simple\ncoding mistake that was corrected in conjunction with additional files as support.\nIt was fixed within a matter of days, which attests to the fact that not much\nneeded to change to mitigate the vulnerability.\n","4","lifetime-180d1y"
"","","","","","8","bounty"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","106","least-privilege"
"","","","","","113","secure-by-default"
"","","","","","116","big-fix"
"","","","","","142","subsystem-chromium-extensions"
"","","","","","343","lacked-test"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"803","CVE-2013-2844","chromium","Use after free vulnerability occurs when the CSS renderer attempts to use\nthe same pointer after freed causes chrome to crash. An attacker can use\nstyle resolution as vulnerability access to cause an unspecific impact.\nThis is done by placing a CSS file on the server and wait for a client to\nfall in the bait. As a consequence, memory might be accessed by something\nthat is not supposed to happen or data on Chrome might be lost. Another cause\nto the vulnerability could be a denial of service to make Chrome unavailable.\n","I believe it was the coding mistake because the person did not think of checking the pointer to ensure it is not freed before using it. So, it is essential to think about all cases what the pointer will do during the process even if it becomes complex. When the code becomes complex, try to apply some practices such as check if the pointer is valid or not rather than figure out all cases for the pointer.","6","lifetime-2y5y"
"","","","","","8","bounty"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","98","contest"
"","","","","","100","language-cpp"
"","","","","","109","distrust-input"
"","","","","","218","subsystem-chromium-blink"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"305","CVE-2011-1465","chromium","Response bodies for a certain type of HTTP stream are not drained. The stream\nis left idle, which causes the system to crash without a user-visible error message.\n\nThis vulnerability exists because the system did not close that type of HTTP stream\nand it went unnoticed for a long period because the problem arose only rarely.\n","The core reason for this vulnerability was improper design, a result of \npoor analysis. If the functionality being added was properly analyzed, \nthe team working on it would have prevented the vulnerability in the first place.\n\nThe person who created the fix was not certain that it was proper, but there have\nnot been related problems since, so it was likely correct.\n","3","lifetime-90d180d"
"","","","","","52","cwe-754"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","114","yagni"
"","","","","","173","subsystem-chromium-spdy"
"","","","","","342","escaped"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"181","CVE-2010-4485","chromium","Before 8.0.552.215, Google Chrome has a vulnerability that allows an attacker \nto create an infinite amount of file dialogs that can crash the browser by \nconsuming all available memory. This vulnerability was proven to be present\nthrough a crafted extension \n","Coding and design mistakes are what led to this vulnerability. It\nstarted out with a design mistakes to refactor how untrusted code is \nhandled, and then turned into a coding mistakes when the refactoring exposed\nthe function to content scripts directly to be executed by windows that are \nnot visible, allowing an attacker to create new invisible windows to then \nopen up file chooser dialogs. I believe this fix is a correct balance\nbetween how invasive it is, and how well thought out it is.\n","5","lifetime-1y2y"
"","","","","","17","cwe-264"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","105","defense"
"","","","","","109","distrust-input"
"","","","","","117","small-fix"
"","","","","","139","subsystem-chromium-renderer"
"","","","","","343","lacked-test"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"1312","CVE-2016-5134","chromium","The Proxy Auto-Config (PAC) feature in Google Chrome does not ensure that the\nURL information is restricted to the schema, host and port. This allows remote\nattackers to discover credentials by operating a server with a PAC script.\n","The major mistake which lead to this vulnerability was in the requirements.\nThis is a result of an imporper understanding of the PAC script or the resulting\nvulnerability being overlooked. This could have also been a result of good enough\nprogramming as it was indicated that this is an issue for other browsers as well.\n","7","lifetime-5y"
"","","","","","8","bounty"
"","","","","","22","cwe-200"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","116","big-fix"
"","","","","","329","subsystem-chromium-proxy-subsystem"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","358","owners"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"1484","CVE-2017-5119","chromium","Embargoed. Use of uninitialized value in Skia.\n","null","14","cwe-119"
"","","","","","357","project-chromium"
"844","CVE-2013-2900","chromium","Windows version does not properly handle components of the path name containing\njust a . (dot) and white space characters. Remote hackers can utilize this to do\na directory traversal by a crafted directory name.\n","The main take away for this CVE is that more investigations need to be done when changing security. In this case an additional secuirty check was put in place in a handfull of different files solved the vulnerability. I would argue that there is a lack of organization of path traversal mitigations which may have caused this issue to be overlooked. I believe that this vulnerability was caused by a lack of proper design. In this case, many different files had logic for handling file paths securely and some cases were missed. By having sanitation logic split up in many different files it makes it harder to track what is being sanitized properly and what isn't.","6","lifetime-2y5y"
"","","","","","8","bounty"
"","","","","","25","cwe-22"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","101","language-js"
"","","","","","105","defense"
"","","","","","109","distrust-input"
"","","","","","117","small-fix"
"","","","","","117","small-fix"
"","","","","","226","subsystem-chromium-file_path-cc"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1787","CVE-2014-0050","tomcat","A software package offered by Apache Tomcat for hosting websites allowed attackers to consume near 100% of the host's CPU, creating a Denial of Service attack. This exploit involved an attacker crafting an HTTP Content-Type header when uploading a file to the server. Changing the boundary to be more than 4091 caused the system to enter into an infinite loop.","The mistake that led to this vulnerability likely occured during implementation. Looking at the code, the implementation failed to fulfill the design. During implmentation an edge case was missed in their software packages.\nThe fix was generally easy to make once it was identified, but for a time the vulnerabilty was present in their software.\nIn order to prevent a mistake like this from occuring in the future, Apache should invest in testing edge cases more often.","6","lifetime-2y5y"
"","","","","","11","cwe-20"
"","","","","","102","language-java"
"","","","","","95","manual"
"","","","","","115","complex-inputs"
"","","","","","466","subsystem-tomcat-http-protocol-cpu"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","481","project-tomcat"
"1201","CVE-2016-1613","chromium","Referencing memory after it has been freed can lead to a variety of behaviors including crashing, corrupting data. \nIn this specific CVE, due to the improper handling and tracking of 2 objects, after the destruction\nof these objects from memory, they are accessed. These cause use after free vulnerabilities found \nthat allow remote attackers to cause a denial of service ( Availability attack ) as well as the potential \nfor other unspecified impact.\n","It was an implementation / design mistake. Since they are working with memory management, \nthey should have when writing this code to begin with handle the proper accessing of these\nobjects they create that are destroyed. This isn't the first CVE I've seen from them that they've\ndone this. This makes me wonder if Use After Free vulnerabilities aren't that commonly thought of\nwhile coding or if they just didn't plan for it in their security procedures. \n","8","bounty"
"","","","","","9","dependency"
"","","","","","26","cwe-416"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","106","least-privilege"
"","","","","","117","small-fix"
"","","","","","251","subsystem-chromium-pdf"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","358","owners"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"1314","CVE-2016-5136","chromium","Referencing memory after it has been freed can lead to a variety of behaviors including crashing and corrupting data. \n\nIn this specific CVE, when an extension is loaded or unloaded by the application, the content\nof these scripts are unregistered. If this happens in the middle of an injection, the freed addresses\nof these unregistered scripts are accessed causing a use after free vulnerability causing a crash. \n","After spending some time reading through the discussions held on the bug as well as looking through a plethora of commits, \nI feel like it was roughly a design mistake that led to the vulnerability. As no code was really deleted, just another variable\nwas added in the file along with some lines to deal with said variable in terms of handling the script.  I also feel that a lot\nof Use After Free vulnerabilities are caused by a combination of coding mistakes and design mistakes. If you don't specifically\ndesign your code or functions to account for it, it is easy to code in a way that leaves room for this vulnerability to happen. \n","8","bounty"
"","","","","","26","cwe-416"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","106","least-privilege"
"","","","","","142","subsystem-chromium-extensions"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1196","CVE-2015-8480","chromium","The function that creates a video frame pool, the memory structure for video media frames, \ndoes not zero initalize the memory for a video-frame data structure. \nLarge unitialized sections of memory can contain sensitive information and cannot be relied on. \nOut-of-bounds memory access also allows for a denial of service attack and or read/write access. \n","The issue here comes down to coding mistakes. They neglected to zero initialize the video frame. \nWhen the problem was being addressed there was a lot of ambiguity about interaction with a \nvideo library *ffmpeg* being used at the time. The team did not seem to have a clear answer \non how the library would interact with their code for awhile. The originator assumed sending the memory \nwithout zero-initializing it would be safe - as they speculated that the library could handle it. \n","2","lifetime-3mo"
"","","","","","14","cwe-119"
"","","","","","94","discover-automated"
"","","","","","96","internal"
"","","","","","100","language-cpp"
"","","","","","109","distrust-input"
"","","","","","116","big-fix"
"","","","","","171","subsystem-chromium-video"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"","","","","","360","refactors"
"963","CVE-2014-3156","chromium","Inside of the clipboard implementation there was a buffer overflow vulnerability. When trying to copy certain things to clipboard, the renderer cliboard would return something with NULL pixels causing this overflow.","From the solution I am seeing it seems to just be a simple coding mistake. The developer just allocates and does arithmatic with values that are never checked so this problem arose quickly.","6","lifetime-2y5y"
"","","","","","8","bounty"
"","","","","","94","discover-automated"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","109","distrust-input"
"","","","","","117","small-fix"
"","","","","","139","subsystem-chromium-renderer"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1551","CVE-2004-1834","httpd","The mod_disk_cache is a tag that sets the program to use disk based storing of cashes,\nthis casheing in included client headers on the users local hard disk. Users can then\npotentially access this information retreiving sensitive data, which includes\nauthentication information.\n","The initial developers did not understand either the funcionality of the tools\nthey were using for cacheing or the full content of the header of which they\nwere caching.\n","6","lifetime-2y5y"
"","","","","","376","cwe-524"
"","","","","","388","cvss-av-l"
"","","","","","85","cvss-ac-l"
"","","","","","86","cvss-au-n"
"","","","","","87","cvss-c-p"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","99","language-c"
"","","","","","106","least-privilege"
"","","","","","116","big-fix"
"","","","","","419","subsystem-httpd-cache"
"","","","","","345","vcc"
"","","","","","438","project-httpd"
"","","","","","359","cooks"
"1163","CVE-2015-6762","chromium","This vulnerability is an example of a circumvention of the Same-origin \nimplementation on Google Chrome. This vulnerability occurred in the manner \nGoogle Chrome handled Cascading Style Sheets (CSS); more specifically, it \noccurred in the code that fetched the fonts resource for a web page. The \nomission of the use of the Cross-origin Resource Sharing (CORS) algorithm, \nallows an attacker to bypass the single origin policy through JavaScript \nthat requests a font through a redirect. The Google Chrome panel did believe\nthat this vulnerability did not bypassed anything other than DRM. \n","The defect that caused this vulnerability is primarily from a coding mistake. \nAccording to the bug reports and commit messages, it is evident that CORs \nhandling of remote fonts are a requirement. Additionally, the fix did not \nrequire a significant rework of the code, therefore it was not a significant \noversight in the system architecture. The original author just had a \nmisunderstanding how to effectively implement CORS. \n","5","lifetime-1y2y"
"","","","","","8","bounty"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","98","contest"
"","","","","","100","language-cpp"
"","","","","","105","defense"
"","","","","","109","distrust-input"
"","","","","","218","subsystem-chromium-blink"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"749","CVE-2013-0881","chromium","Google Chrome allowed remote attackers to cause a denial of service \n(incorrect read operation) via crafted data in the Matroska container format.\nThis is because of the manipulation with an unknown input when calling the function\nmatroska_parse_laces which in turn led to out-of-bounds reading in the memory.\nMore specifically, this caused a Heap buffer overflow.\nMatroska Multimedia Container is a file format that is able to hold unlimited \nnumbers of video, audio, picture, or subtitle tracks all in one file. \n","The mistake that led to this vulnerability was the developers not checking the outputs of all the file formats\nthat they were decoding. In the instance of this vulnerability, the developers allowed remote attackers to\ncause a DOS due to carefully crafted data in a Matroska container format. The developer had not checked a function\nthat related to matroska, more specifically matroska_parse_laces(), that moved a pointer in the file forward but did\nnot subtract the size of the file which caused an out-of-bounds read.\nThis could have been easily prevented had the developers checked all use cases for the formats they support and made sure \nthat the file's outputs were accounted for if they do support media formats such as matroska. Also the developers noted that\nthe vulnerability was old and dated back three months prior to this. The unit tests should have been more robust and the requirements\nshould have been more fleshed out so that all use cases were covered. \n","3","lifetime-90d180d"
"","","","","","8","bounty"
"","","","","","9","dependency"
"","","","","","11","cwe-20"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","108","native-wrappers"
"","","","","","116","big-fix"
