id,name,shortname,description,color,icon,short_desc
27,CWE-94: Improper Control of Generation of Code ('Code Injection'),cwe-94,"""The software constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment."" - For more infomration visit https://cwe.mitre.org/data/definitions/94.html
",#99ccff,tag,"""The software constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the int..."
448,CWE-99: Improper Control of Resource Identifiers ('Resource Injection'),cwe-99,"""The software receives input from an upstream component, but it does not restrict or incorrectly restricts the input before it is used as an identifier for a resource that may be outside the intended sphere of control."" - For more infomration visit https://cwe.mitre.org/data/definitions/99.html
",#99ccff,tag,"""The software receives input from an upstream component, but it does not restrict or incorrectly restricts the input before it is used as an identifier for a resource that may be outside the intended sphere of control."" - For more infomrat..."
9,Dependency Issue,dependency,"The fix for this vulnerability involved changing the Chromium dependency file
",#dbe045,dependency,"The fix for this vulnerability involved changing the Chromium dependency file
..."
124,Discovered Automatically,discover-automated,"These are vulnerabilities that were discovered using automation. This could be an automated test like a unit test or an automated test case generator such as a fuzz tester.

This tag is based on the question to our curators, specifically `How was this vulnerability discovered?`, with the option of selecting ""automated"". 

Automatically discovering vulnerabilities typically falls into two categories: [fuzz testing](/articles/what-the-fuzz) and static analysis. ",#9999ff,robot,"These are vulnerabilities that were discovered using automation. This could be an automated test like a unit test or an automated test case generator such as a fuzz tester.

This tag is based on the question to our curators, specifically `..."
127,Discovered Externally,external,"TODO: Write article for this tag.
",#9999ff,external,"TODO: Write article for this tag.
..."
128,Discovered in Contest,contest,"TODO: Write article for this tag.
",#9999ff,contest,"TODO: Write article for this tag.
..."
126,Discovered Internally,internal,"TODO: Write article for this tag.
",#9999ff,internal,"TODO: Write article for this tag.
..."
125,Discovered Manually,manual,"TODO: Write article for this tag.
",#9999ff,hand-pointer,"TODO: Write article for this tag.
..."
146,Fix: Big,big-fix,"We consider a big fix to be greater than 100 lines of code changed (added + deleted).
",#9FE69F,big,"We consider a big fix to be greater than 100 lines of code changed (added + deleted).
..."
147,Fix: Small,small-fix,"We consider a small fix to be less than 20 lines of code changed (added + deleted).
",#9FE69F,small,"We consider a small fix to be less than 20 lines of code changed (added + deleted).
..."
376,i18n,i18n,Was the feature impacted by this vulnerability about internationalization (i18n),#dbe045,globe-americas,Was the feature impacted by this vulnerability about internationalization (i18n)...
129,Language: C,language-c,"The fix for these vulnerabilities involved changing files from the C programming language.
",#890808,c,"The fix for these vulnerabilities involved changing files from the C programming language.
..."
130,Language: C++,language-cpp,"The fix for these vulnerabilities involved changing files from the C++ programming language.
",#890808,cpp,"The fix for these vulnerabilities involved changing files from the C++ programming language.
..."
132,Language: Java,language-java,"The fix for these vulnerabilities involved changing files from the Java programming language.
",#890808,java,"The fix for these vulnerabilities involved changing files from the Java programming language.
..."
131,Language: Javascript,language-js,"The fix for these vulnerabilities involved changing files from the Javascript programming language.
",#890808,javascript,"The fix for these vulnerabilities involved changing files from the Javascript programming language.
..."
133,Language: Python,language-python,"The fix for these vulnerabilities involved changing files from the Python programming language.
",#890808,python,"The fix for these vulnerabilities involved changing files from the Python programming language.
..."
134,Language: Ruby,language-ruby,,#CC0505,ruby,...
379,Lesson: Changing Owners,owners,"Vulnerabilities with this tag have had at least 10 changes in **ownership** over the lifetime of the vulnerable code. A code owner is a person who is in an [`OWNERS or CODEOWNERS`](https://docs.github.com/en/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-code-owners) file that impacts the code. These are people who are tasked with being gatekeepers to the code, reviewing changes. 

Frequent changes in ownership can result in loss of institutional knowledge. Thus, we tag vulnerabilities where the code had a lot of ownership changes. ",#009696,identity,Vulnerabilities with this tag have had at least 10 changes in **ownership** over the lifetime of the vulnerable code. A code owner is a person who is in an [`OWNERS or CODEOWNERS`](https://docs.github.com/en/repositories/managing-your-repo...
381,Lesson: Code Refactors,refactors,"A vulnerability with this tag has had at least 10 separate weeks where at least one commit mentioned the word ""refactoring"" in the commit message.

Refactoring is generally considered to be a good practice to be doing regularly. It indicates regular maintenance and attention. While refactoring doesn't yield new features or fix defects, it greatly reduces the cost of them. ",#009696,branch,"A vulnerability with this tag has had at least 10 separate weeks where at least one commit mentioned the word ""refactoring"" in the commit message.

Refactoring is generally considered to be a good practice to be doing regularly. It indicat..."
145,Lesson: Complex Inputs,complex-inputs,"Vulnerabilities with this tag were flagged as an example of a recurring lesson in secure software engineering.

Historically, many vulnerabilities have occurred when a program like an expressive language, a deeply-nested structure, or an intricate compression algorithm. Embedded fonts, URLs, directory paths, video media, vector graphics, query strings, custom protocols, and raster graphics are just a few examples of
deceptively complex inputs that have led to vulnerabilities.
",#009696,cogs,"Vulnerabilities with this tag were flagged as an example of a recurring lesson in secure software engineering.

Historically, many vulnerabilities have occurred when a program like an expressive language, a deeply-nested structure, or an i..."
135,Lesson: Defense in Depth,defense,"TODO: Write article for this tag.
",#009696,archway,"TODO: Write article for this tag.
..."
139,Lesson: Distrust Input,distrust-input,"TODO: Write article for this tag.
",#009696,distrust-input,"TODO: Write article for this tag.
..."
142,Lesson: Environment Variables,environment,"TODO: Write article for this tag.
",#009696,environment,"TODO: Write article for this tag.
..."
10,Lesson: Error of Omission,omission,"TODO: Write article for this tag.
",#009696,ghost,"TODO: Write article for this tag.
..."
372,Lesson: Escaped Test,escaped,"TODO: Write article for this tag.
",#009696,lemon,"TODO: Write article for this tag.
..."
374,Lesson: Fix Untested,untested,"TODO: Write article for this tag.
",#009696,stamp,"TODO: Write article for this tag.
..."
137,Lesson: Frameworks are Optional,optional-frameworks,"TODO: Write article for this tag.
",#009696,framework,"TODO: Write article for this tag.
..."
373,Lesson: Lacked Test,lacked-test,"TODO: Write article for this tag.
",#009696,running,"TODO: Write article for this tag.
..."
136,Lesson: Least Privilege,least-privilege,"TODO: Write article for this tag.
",#009696,key,"TODO: Write article for this tag.
..."
138,Lesson: Native Wrappers,native-wrappers,,#009696,microchip,...
382,Lesson: Reverting Codebase,reverts,"A vulnerability with this tag has had at least 10 separate weeks where at least one commit mentioned the word ""revert"" in the commit message.

Reverting code is a feature of Git that allows you to completly reverse a prior commit. We believe that code with a history of frequent reverts might be indicative that the code owners are too eage to merge in changes without careful review. This hypothesis is untested, but we are curious.",#009696,rewind,"A vulnerability with this tag has had at least 10 separate weeks where at least one commit mentioned the word ""revert"" in the commit message.

Reverting code is a feature of Git that allows you to completly reverse a prior commit. We belie..."
143,Lesson: Secure By Default,secure-by-default,"TODO: Write article for this tag.
",#009696,default,"TODO: Write article for this tag.
..."
140,Lesson: Security By Obscurity,obscurity,"TODO: Write article for this tag.
",#009696,microscope,"TODO: Write article for this tag.
..."
141,Lesson: Serial Killer,serial,"This tag is applied when a lesson can be learned about serialization.
",#009696,serial-killer,"This tag is applied when a lesson can be learned about serialization.
..."
380,Lesson: Too Many Cooks,cooks,"TODO Finish this

Familiarity is difficult to gain with code. Even for the best
developers, contributing to a piece of source code for the first time
means that they must understand the design decisions from previous
developers, any issues the code has had historically, and the coding
style. Thus, the first commit any developer makes is risky.

Furthermore, research has shown a strong correlation between code that
had many developers and code with vulnerabilities.

Write about diffusion of responsibility.

Provide a few paragraphs and references about how having multiple
developers work on a piece of code increases its liklihood of having a
vulnerability.

Note that we used 10 as an arbitrary threshold, but it's really more of
a spectrum.
",#009696,people,"TODO Finish this

Familiarity is difficult to gain with code. Even for the best
developers, contributing to a piece of source code for the first time
means that they must understand the design decisions from previous
developers, any issues..."
144,Lesson: You Ain't Gonna Need It,yagni,"TODO: Write article for this tag.
",#009696,balance-scale,"TODO: Write article for this tag.
..."
4,Lifetime: 180 days to 1 year,lifetime-180d1y,,#bd4b51,hourglass,...
5,Lifetime: 1 to 2 years,lifetime-1y2y,,#b83035,hourglass,...
6,Lifetime: 2 to 5 years,lifetime-2y5y,,#ba181el,hourglass,...
2,Lifetime: 30 to 90 days,lifetime-3mo,,#bf777a,hourglass,...
7,Lifetime: 5+ years,lifetime-5y,,#c4020b,hourglass,...
3,Lifetime: 90 to 180 days,lifetime-90d180d,,#bd5e62,hourglass,...
1,Lifetime: Less than 30 days,lifetime-30d,,#d6989b,hourglass,...
377,Origin Vulnerability,Origin,"We believe this vulnerability was introduced at the beginning of the project.

Specifically, one of the [Vulnerability-Contributing Commits](/articles/vccs) is identified as an **origin commit**. In our curations, we look at commits that mark the beginning of the project. These are usually when lots of files are introduce in one commit (e.g. from forking another project, or adapting code). 
",#d845e0,origin,"We believe this vulnerability was introduced at the beginning of the project.

Specifically, one of the [Vulnerability-Contributing Commits](/articles/vccs) is identified as an **origin commit**. In our curations, we look at commits that m..."
378,Project: Chromium,project-chromium,"Vulnerabilities reported in Chromium Browser

The Chromium Browser project is the open source project behind Google Chrome.

Throughout the VHP, when we refer to Chromium, we are referring to the Browser. This study does not include ChromeOS.
",#4587f4,tag,"Vulnerabilities reported in Chromium Browser

The Chromium Browser project is the open source project behind Google Chrome.

Throughout the VHP, when we refer to Chromium, we are referring to the Browser. This study does not include Chrome..."
445,Project: HTTPD,project-httpd,"Vulnerabilities reported in Apache HTTPD Web Server

Apache HTTPD is the most popular web server in the world.
",#af204c,tag,"Vulnerabilities reported in Apache HTTPD Web Server

Apache HTTPD is the most popular web server in the world.
..."
528,Project: Struts,project-struts,"Vulnerabilities reported in Apache Struts

Apache Struts is an MVC web application framework in Java
",#3186c3,tag,"Vulnerabilities reported in Apache Struts

Apache Struts is an MVC web application framework in Java
..."
488,Project: Tomcat,project-tomcat,"Vulnerabilities reported in Apache Tomcat

""The Apache Tomcat® software is an open source implementation of the Java Servlet, JavaServer Pages, Java Expression Language and Java WebSocket technologies"" -http://tomcat.apache.org/
",#d2a41f,tag,"Vulnerabilities reported in Apache Tomcat

""The Apache Tomcat® software is an open source implementation of the Java Servlet, JavaServer Pages, Java Expression Language and Java WebSocket technologies"" -http://tomcat.apache.org/
..."
115,Severity: Attack Complexity - Low,cvss-ac-l,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS specification document](https://www.first.org/cvss/specification-document). ,#99ccff,tag,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS speci...
114,Severity: Attack Vector - Network,cvss-av-n,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS specification document](https://www.first.org/cvss/specification-document). ,#99ccff,tag,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS speci...
119,Severity: Availability Impact - Partial,cvss-a-p,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS specification document](https://www.first.org/cvss/specification-document). ,#99ccff,tag,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS speci...
117,Severity: Confidentiality Impact - Partial,cvss-c-p,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS specification document](https://www.first.org/cvss/specification-document). ,#99ccff,tag,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS speci...
123,Severity: Integrity Impact - High,cvss-i-h,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS specification document](https://www.first.org/cvss/specification-document). ,#99ccff,tag,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS speci...
118,Severity: Integrity Impact - Partial,cvss-i-p,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS specification document](https://www.first.org/cvss/specification-document). ,#99ccff,tag,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS speci...
116,Severity: Privileges Required - None,cvss-au-n,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS specification document](https://www.first.org/cvss/specification-document). ,#99ccff,tag,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS speci...
120,Severity: Privileges Required - None,cvss-pr-n,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS specification document](https://www.first.org/cvss/specification-document). ,#99ccff,tag,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS speci...
122,Severity: Scope - Unchanged,cvss-s-u,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS specification document](https://www.first.org/cvss/specification-document). ,#99ccff,tag,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS speci...
121,Severity: User Interaction - Required,cvss-ui-r,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS specification document](https://www.first.org/cvss/specification-document). ,#99ccff,tag,Vulnerabilities with this tag were given a CVSS rating as part of the requirement to be included into the [National Vulnerability Database](https://nvd.nist.gov/). You can learn more about what the individual scores mean in the [CVSS speci...
279,Subsystem: Chromium android web,subsystem-chromium-android-web,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
319,Subsystem: Chromium appcache,subsystem-chromium-appcache,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
296,"Subsystem: Chromium appcache, serviceworker",subsystem-chromium-appcache-serviceworker,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
152,Subsystem: Chromium area-misc area-browserbackend,subsystem-chromium-area-misc-area-browserbackend,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
235,Subsystem: Chromium audio,subsystem-chromium-audio,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
262,Subsystem: Chromium aura,subsystem-chromium-aura,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
205,Subsystem: Chromium autofill,subsystem-chromium-autofill,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
178,"Subsystem: Chromium autofill, translate",subsystem-chromium-autofill-translate,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
197,Subsystem: Chromium base,subsystem-chromium-base,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
283,Subsystem: Chromium base/memory.,subsystem-chromium-base-memory,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
248,Subsystem: Chromium blink,subsystem-chromium-blink,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
272,Subsystem: Chromium blink/chromium's web workers,subsystem-chromium-blink-chromium-s-web-workers,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
322,Subsystem: Chromium blink>dom and platform>extensions,subsystem-chromium-blink-dom-and-platform-extensions,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
177,"Subsystem: Chromium blink, internals, and internals>plugins",subsystem-chromium-blink-internals-and-internals-plugins,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
294,Subsystem: Chromium blink > javascript,subsystem-chromium-blink-javascript,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
266,Subsystem: Chromium blink speech,subsystem-chromium-blink-speech,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
299,Subsystem: Chromium blink/storage,subsystem-chromium-blink-storage,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
320,Subsystem: Chromium blink>storage>appcache,subsystem-chromium-blink-storage-appcache,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
342,Subsystem: Chromium blink's v8 rendering engine,subsystem-chromium-blink-s-v8-rendering-engine,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
252,Subsystem: Chromium blink svg,subsystem-chromium-blink-svg,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
316,Subsystem: Chromium blink timer,subsystem-chromium-blink-timer,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
324,Subsystem: Chromium blink ui>browser>navigation,subsystem-chromium-blink-ui-browser-navigation,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
288,Subsystem: Chromium blink (webkit core),subsystem-chromium-blink-webkit-core,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
303,Subsystem: Chromium blink::webstring::fromutf8,subsystem-chromium-blink-webstring-fromutf8,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may also look at bug reports or commit messages to make this determination.

As part of the editorial process, we periodically combine subsystems together. If you see two subsystems that ought to be combined, then do a pull request against the vulnerabilities involved! We welcome that kind of edit.

",#6aa5e5,cogs,"

Most software project don't make a definitive list of their subsystems, so the subsystems tags are our curators' best guess at what part(s) of the system a vulnerability was in. Often, curators will look at file paths primarily, but may ..."
